"","."
"1","Do.you.have.the.knowledge..skills.and.experience.to.start.or.run.a.business.."
"2","Do.you.think.that.the.coming.six.months.will.provide.good.opportunities.for.you.to.start.continue.a.business.in.your.area."
"3","Would.fear.of.failure.stop.you.from.starting.or.continuing.a.business."
"4","Do.you.know.anybody.who.has.their.own.business."
"5","Do.you.think.that.the.demand.for.creative.professionals.will.be.better..worse.or.the.same.."
"6","Do.you.think.that.your.financial.circumstances.will.be.better..worse.or.the.same.within.a.year.."
"7","Worries.often.stand.in.the.way.of.my.performance."
"8","My.thoughts.and.feelings.do.not.prevent.me.from.tapping.my.full.potential.when.I.work."
"9","If.I.want.to.achieve.something.professionally..I.will.go.for.it."
"10","I.regularly.make.concrete.plans.for.the.future..for.my.work.and.my.career."
"11","It.is.difficult.for.me.to.let.go.of.disturbing.thoughts.when.I.work..even.if.I.know.it.would.help.me."
"12","I.can.easily.describe.my.beliefs.and.opinions.when.I.work."
"13","I.feel.restricted.by.everything.that.I.demand.from.myself.when.I.work."
"14","I.don.t.expect.myself.to.do.everything.right.when.I.work."
"15","I.realise.that.my.actions.are.my.own.choices."
"16","I.find.support.in.the.people.that.surround.me"
"17","It.is.exciting.to.figure.out.new.ways.to.solve.unmet.work.challenges.that.can.be.commercialized"
"18","Searching.for.new.ideas.to.express.in.my.work.is.enjoyable.to.me"
"19","I.am.motivated.to.figure.out.how.to.make.my.current.work.more.innovative"
"20","Scanning.my.surroundings.for.new.work.opportunities.excites.me"
"21","Starting.a.new.business.or.project.excites.me"
"22","Having.creative.freedom.energizes.me"
"23","Nurturing.a.new.project.and.making.it.successful.excites.me"
"24","Commercializing.my.work.to.generate.money.is.important"
"25","I.actively.seek.out.the.right.people.to.network.with.in.order.to.build.my.professional.reputation"
"26","Collaborating.with.others.is.a.part.of.my.work"
"27","Pushing.myself.beyond.my.comfort.zone.excites.and.better.motivates.me"
"28","Nurturing.and.growing.my.professional.work.is.an.important.part.of.who.I.am"
"29","Pursuing.a.creative.or.entrepreneurial.career.is.a.calling.and.should.be.pursued.for.its.own.sake."
"30","I.often.have.no.idea.where.my.next.Euros.will.come.from"
"31","It.is.hard.for.me.to.plan.for.large.expenses.as.it.is.difficult.to.predict.what.my.income.will.be.in.any.given.year."
"32","I.often.can.t.predict.when.I.will.get.my.next.paycheck."
"33","I.find.it.difficult.to.stick.to.effective.routines.for.handling.all.the.backoffice.work.that.come.with.my.work"
"34","Sometimes.I.fall.seriously.behind.on.doing.the.necessary.administrative.tasks.to.keep.my.projects.going."
"35","I.sometimes.feel.overwhelmed.by.all.of.the.different.tasks.I.have.to.complete.in.my.work."
"36","I.wear.so.many.professional.hats.that.it.is.sometimes.difficult.to.have.a.clear.sense.of.who.I.am.as.a.professional"
"37","It.is.sometimes.difficult.to.explain.to.others.who.I.am.as.a.professional."
"38","My.life.as.an..independent..professional.can.get.pretty.intense.emotionally."
"39","Working.as.an..independent..professional.is.emotional."
"40","In.my.professional.life..my.emotions.are.all.over.the.place.."
"41","My.professional.life.can.get.lonely"
"42","I.feel.alone.in.my.professional.life..separated.from.mentors.and.colleagues.who.might.help.me"
"43","Sometimes.I.miss.being.part.of.a.team.when.I.work"
"44","I.don.t.know.where.my.career.might.go.in.the.future"
"45","Where.I.go.from.here.in.my.career.is.very.unclear"
"46","I.m.not.sure.what.kind.of.work.I.ll.be.doing.next.year"
"47","As.an.entrepreneur...I.have.sufficient.opportunities.to.benefit.from.economic.growth.in.the.Netherlands.."
"48","The.current.economic.policies.ensure.that.entrepreneurs.from.the.Afro.diaspora.like.myself.can.participate.in.and.benefit.from.the.economy."
"49","I.am.aware.of.the.instruments.and.support.offered.by.the.Ministry.of.Economic.Affairs..Ministerie.van.Economische.Zaken..to.entrepreneurs..."
"50","I.make.use.of.the.available.government.instruments.aimed.at.supporting.entrepreneurs.."
"51","There.is.untapped.entrepreneurial.potential.within.the.Afro.diaspora.in.the.Netherlands."
"52","I.have.experienced.barriers.that.have.hindered.me.in.realizing.my.entrepreneurial.ambitions."
"53","There.is.a.cultural.distance.between.my.community.and.the.broader.Dutch.entrepreneurial.community..."
"54","I.have.felt.that.I.was.dealing.with..implicit..discrimination.in.my.entrepreneurial.activities...."
"55","I.have.initiated.projects.that.could.help.stimulate.entrepreneurship.within.the.Afro.diaspora.in.the.Netherlands..."
"56","I.trust.the..government.to.ensure.that.policies.and.instruments.better.align.with.the.needs.of.entrepreneurs.from.the.Afro.diaspora.."
"57","I.have.encountered.challenges.in.hiring.employees.with.a.cultural.distance.from.the.labor.market."
"58","There.is.sufficient.support.from.the.government..that.would.help.overcome.these.challenges.I.may.face."
